anchor_date,route,horizon_days,model,mae,rmse,wmape
2017-07-25,OVB-DME,7,seasonal7,28.714284896850586,37.544259363221066,0.08727746456861496
2017-07-25,OVB-DME,14,timesfm,24.49306869506836,29.554207346416856,0.07363172620534897
2017-07-25,OVB-DME,14,naive_last,33.21428680419922,36.4093782186077,0.09984968602657318
2017-07-25,OVB-DME,14,seasonal7,29.64285659790039,37.60983913818298,0.08911316096782684
2017-07-25,OVB-SVO,1,timesfm,54.313201904296875,54.313201232527256,0.17866185307502747
2017-07-25,OVB-SVO,1,naive_last,32.0,32.0,0.10526315867900848
2017-07-25,OVB-SVO,1,seasonal7,41.0,41.0,0.13486842811107635
2017-07-25,OVB-SVO,7,timesfm,16.899106979370117,23.545225089425642,0.062096454203128815
2017-07-25,OVB-SVO,7,naive_last,19.85714340209961,21.38423965368903,0.07296588271856308
2017-07-25,OVB-SVO,7,seasonal7,19.428571701049805,24.0,0.07139107584953308
2017-07-25,OVB-SVO,14,timesfm,17.65705108642578,23.043715355445887,0.06335179507732391
2017-07-25,OVB-SVO,14,naive_last,20.0,22.869193252058544,0.07175806909799576
2017-07-25,OVB-SVO,14,seasonal7,20.85714340209961,26.1233341835836,0.07483341544866562
2017-07-25,PEE-VKO,1,timesfm,6.951629638671875,6.951629546432266,0.02537091076374054
2017-07-25,PEE-VKO,1,naive_last,24.0,24.0,0.08759123831987381
2017-07-25,PEE-VKO,1,seasonal7,12.0,12.0,0.043795619159936905
2017-07-25,PEE-VKO,7,timesfm,12.869118690490723,14.507474879956819,0.04746250435709953
2017-07-25,PEE-VKO,7,naive_last,26.85714340209961,30.477157293606286,0.09905163198709488
2017-07-25,PEE-VKO,7,seasonal7,19.428571701049805,23.470345474645633,0.07165437191724777
2017-07-25,PEE-VKO,14,timesfm,15.92884349822998,18.91215929731741,0.057430803775787354
2017-07-25,PEE-VKO,14,naive_last,20.64285659790039,25.95187854472196,0.07442698627710342
2017-07-25,PEE-VKO,14,seasonal7,20.071428298950195,24.45257836849087,0.07236672937870026
2017-07-25,SCW-DME,1,timesfm,9.744277954101562,9.744277839971446,0.06496185064315796
2017-07-25,SCW-DME,1,naive_last,7.0,7.0,0.046666666865348816
2017-07-25,SCW-DME,1,seasonal7,16.0,16.0,0.1066666692495346
2017-07-25,SCW-DME,7,timesfm,14.949914932250977,18.78444589853115,0.10464940965175629
2017-07-25,SCW-DME,7,naive_last,9.857142448425293,12.218253591458778,0.0689999982714653
2017-07-25,SCW-DME,7,seasonal7,17.428571701049805,20.276657830697918,0.12200000137090683
2017-07-25,SCW-DME,14,timesfm,16.01740837097168,19.660920332733106,0.10859260708093643
2017-07-25,SCW-DME,14,naive_last,11.5,14.149709508495384,0.0779661014676094
2017-07-25,SCW-DME,14,seasonal7,18.928571701049805,22.259829289552066,0.1283292919397354
2017-07-25,SVO-AER,1,timesfm,6.491943359375,6.491943354784337,0.019554046913981438
2017-07-25,SVO-AER,1,naive_last,14.0,14.0,0.04216867312788963
2017-07-25,SVO-AER,1,seasonal7,41.0,41.0,0.1234939768910408
2017-07-25,SVO-AER,7,timesfm,25.874141693115234,28.213053351144595,0.08165869861841202
2017-07-25,SVO-AER,7,naive_last,9.142857551574707,11.096975282147728,0.028854824602603912
2017-07-25,SVO-AER,7,seasonal7,26.428571701049805,36.74817803466163,0.08340847492218018
2017-07-25,SVO-AER,14,timesfm,21.048707962036133,24.222894050699356,0.06516627967357635
2017-07-25,SVO-AER,14,naive_last,11.428571701049805,14.923614815948739,0.03538257256150246
2017-07-25,SVO-AER,14,seasonal7,23.571428298950195,31.261569147539703,0.07297655940055847
2017-07-25,SVO-LED,1,timesfm,29.90606689453125,29.90606734041658,0.08424244076013565
2017-07-25,SVO-LED,1,naive_last,13.0,13.0,0.03661971911787987
2017-07-25,SVO-LED,1,seasonal7,20.0,20.0,0.056338027119636536
2017-07-25,SVO-LED,7,timesfm,21.978899002075195,23.81391738317769,0.06483451277017593
2017-07-25,SVO-LED,7,naive_last,19.85714340209961,21.96425638052901,0.05857564136385918
2017-07-25,SVO-LED,7,seasonal7,23.0,24.05648133941441,0.06784661114215851
2017-07-25,SVO-LED,14,timesfm,24.166372299194336,27.523816701900987,0.07113734632730484
2017-07-25,SVO-LED,14,naive_last,23.285715103149414,26.28959648417566,0.06854499876499176
2017-07-25,SVO-LED,14,seasonal7,24.285715103149414,27.568097504180443,0.0714886486530304
2017-07-25,SVO-OVB,1,timesfm,43.53155517578125,43.53155565667996,0.140878826379776
2017-07-25,SVO-OVB,1,naive_last,36.0,36.0,0.11650485545396805
2017-07-25,SVO-OVB,1,seasonal7,26.0,26.0,0.08414239436388016
2017-07-25,SVO-OVB,7,timesfm,13.997880935668945,19.284993653735263,0.050507817417383194
2017-07-25,SVO-OVB,7,naive_last,17.571428298950195,20.822378386015142,0.06340206414461136
2017-07-25,SVO-OVB,7,seasonal7,14.428571701049805,18.719737133560646,0.05206185579299927
2017-07-25,SVO-OVB,14,timesfm,17.26058578491211,21.686619809453145,0.060593828558921814
2017-07-25,SVO-OVB,14,naive_last,21.85714340209961,25.604128790740226,0.07673019170761108
2017-07-25,SVO-OVB,14,seasonal7,18.285715103149414,22.60846860765238,0.06419257819652557
2017-07-25,SVO-SVX,1,timesfm,25.331268310546875,25.33126836023576,0.07990936189889908
2017-07-25,SVO-SVX,1,naive_last,8.0,8.0,0.025236593559384346
2017-07-25,SVO-SVX,1,seasonal7,22.0,22.0,0.06940063089132309
2017-07-25,SVO-SVX,7,timesfm,19.19163703918457,22.778145954082145,0.0572640486061573
2017-07-25,SVO-SVX,7,naive_last,14.428571701049805,23.631093687495454,0.04305200278759003
2017-07-25,SVO-SVX,7,seasonal7,16.571428298950195,20.45901858961936,0.04944586381316185
2017-07-25,SVO-SVX,14,timesfm,13.744654655456543,18.16875359450214,0.04101133346557617
2017-07-25,SVO-SVX,14,naive_last,12.857142448425293,20.708866391398562,0.03836316987872124
2017-07-25,SVO-SVX,14,seasonal7,16.714284896850586,19.845834505427,0.04987212270498276
